Dimensions,d,t,Mass,Area_per_m,Area_per_t,span_thick_width,Area,Ix,Zx,Sx,rx,J,C,kf,Compact_x,Zex
508.0 x 12.7 CHS,508.0,12.7,155,1.60,10.3,40.0,19800,606,2390,3120,175,1210,4770,1.00,N,3050
508.0 x 9.5 CHS,508.0,9.5,117,1.60,13.7,53.5,14900,462,1820,2360,176,925,3640,1.00,N,2170
508.0 x 6.4 CHS,508.0,6.4,79.2,1.60,20.2,79.4,10100,317,1250,1610,177,634,2500,0.857,N,1290
457.0 x 12.7 CHS,457.0,12.7,139,1.44,10.3,36.0,17700,438,1920,2510,157,876,3830,1.00,N,2500
457.0 x 9.5 CHS,457.0,9.5,105,1.44,13.7,48.1,13400,334,1460,1900,158,669,2930,1.00,N,1790
457.0 x 6.4 CHS,457.0,6.4,71.1,1.44,20.2,71.4,9060,230,1010,1300,159,460,2010,0.904,N,1090
406.4 x 12.7 CHS,406.4,12.7,123,1.28,10.4,32.0,15700,305,1500,1970,139,609,3000,1.00,C,1970
406.4 x 9.5 CHS,406.4,9.5,93.0,1.28,13.7,42.8,11800,233,1150,1500,140,467,2300,1.00,N,1450
406.4 x 6.4 CHS,406.4,6.4,63.1,1.28,20.2,63.5,8040,161,792,1020,141,322,1580,0.960,N,895
355.6 x 12.7 CHS,355.6,12.7,107,1.12,10.4,28.0,13700,201,1130,1490,121,403,2260,1.00,C,1490
355.6 x 9.5 CHS,355.6,9.5,81.1,1.12,13.8,37.4,10300,155,871,1140,122,310,1740,1.00,N,1130
355.6 x 6.4 CHS,355.6,6.4,55.1,1.12,20.3,55.6,7020,107,602,781,123,214,1200,1.00,N,710
323.9 x 12.7 CHS,323.9,12.7,97.5,1.02,10.4,25.5,12400,151,930,1230,110,301,1860,1.00,C,1230
323.9 x 9.5 CHS,323.9,9.5,73.7,1.02,13.8,34.1,9380,116,717,939,111,232,1430,1.00,C,939
323.9 x 6.4 CHS,323.9,6.4,50.1,1.02,20.3,50.6,6380,80.5,497,645,112,161,994,1.00,N,601
273.1 x 12.7 CHS,273.1,12.7,81.6,0.858,10.5,21.5,10400,88.3,646,862,92.2,177,1290,1.00,C,862
273.1 x 9.3 CHS,273.1,9.3,60.5,0.858,14.2,29.4,7710,67.1,492,647,93.3,134,983,1.00,C,647
273.1 x 6.4 CHS,273.1,6.4,42.1,0.858,20.4,42.7,5360,47.7,349,455,94.3,95.4,699,1.00,N,441
273.1 x 4.8 CHS,273.1,4.8,31.8,0.858,27.0,56.9,4050,36.4,267,346,94.9,72.8,533,1.00,N,312
219.1 x 8.2 CHS,219.1,8.2,42.6,0.688,16.1,26.7,5430,30.3,276,365,74.6,60.5,552,1.00,C,365
219.1 x 6.4 CHS,219.1,6.4,33.6,0.688,20.5,34.2,4280,24.2,221,290,75.2,48.4,442,1.00,C,290
219.1 x 4.8 CHS,219.1,4.8,25.4,0.688,27.1,45.6,3230,18.6,169,220,75.8,37.1,339,1.00,N,210
168.3 x 7.1 CHS,168.3,7.1,28.2,0.529,18.7,23.7,3600,11.7,139,185,57.0,23.4,278,1.00,C,185
168.3 x 6.4 CHS,168.3,6.4,25.6,0.529,20.7,26.3,3260,10.7,127,168,57.3,21.4,254,1.00,C,168
168.3 x 4.8 CHS,168.3,4.8,19.4,0.529,27.3,35.1,2470,8.25,98.0,128,57.8,16.5,196,1.00,C,128
165.1 x 3.5 CHS,165.1,3.5,13.9,0.519,37.2,47.2,1780,5.80,70.3,91.4,57.1,11.6,141,1.00,N,86.6
165.1 x 3.0 CHS,165.1,3.0,12.0,0.519,43.2,55.0,1530,5.02,60.8,78.8,57.3,10.0,122,1.00,N,71.9
139.7 x 3.5 CHS,139.7,3.5,11.8,0.439,37.3,39.9,1500,3.47,49.7,64.9,48.2,6.95,99.5,1.00,N,63.7
139.7 x 3.0 CHS,139.7,3.0,10.1,0.439,43.4,46.6,1290,3.01,43.1,56.1,48.3,6.02,86.2,1.00,N,53.3
114.3 x 3.6 CHS,114.3,3.6,9.83,0.359,36.5,31.8,1250,1.92,33.6,44.1,39.2,3.84,67.2,1.00,C,44.1
114.3 x 3.2 CHS,114.3,3.2,8.77,0.359,41.0,35.7,1120,1.72,30.2,39.5,39.3,3.45,60.4,1.00,N,39.5
101.6 x 3.2 CHS,101.6,3.2,7.77,0.319,41.1,31.8,989,1.20,23.6,31.0,34.8,2.40,47.2,1.00,C,31.0
101.6 x 2.6 CHS,101.6,2.6,6.35,0.319,50.3,39.1,809,0.991,19.5,25.5,35.0,1.98,39.0,1.00,N,25.1
88.9 x 3.2 CHS,88.9,3.2,6.76,0.279,41.3,27.8,862,0.792,17.8,23.5,30.3,1.58,35.6,1.00,C,23.5
88.9 x 2.6 CHS,88.9,2.6,5.53,0.279,50.5,34.2,705,0.657,14.8,19.4,30.5,1.31,29.6,1.00,C,19.4
76.1 x 3.2 CHS,76.1,3.2,5.75,0.239,41.6,23.8,733,0.488,12.8,17.0,25.8,0.976,25.6,1.00,C,17.0
76.1 x 2.3 CHS,76.1,2.3,4.19,0.239,57.1,33.1,533,0.363,9.55,12.5,26.1,0.727,19.1,1.00,C,12.5
60.3 x 2.9 CHS,60.3,2.9,4.11,0.189,46.1,20.8,523,0.216,7.16,9.56,20.3,0.432,14.3,1.00,C,9.56
60.3 x 2.3 CHS,60.3,2.3,3.29,0.189,57.6,26.2,419,0.177,5.85,7.74,20.5,0.353,11.7,1.00,C,7.74
48.3 x 2.9 CHS,48.3,2.9,3.25,0.152,46.7,16.7,414,0.107,4.43,5.99,16.1,0.214,8.86,1.00,C,5.99
48.3 x 2.3 CHS,48.3,2.3,2.61,0.152,58.2,21.0,332,0.0881,3.65,4.87,16.3,0.176,7.30,1.00,C,4.87
42.4 x 2.6 CHS,42.4,2.6,2.55,0.133,52.2,16.3,325,0.0646,3.05,4.12,14.1,0.129,6.10,1.00,C,4.12
42.4 x 2.0 CHS,42.4,2.0,1.99,0.133,66.8,21.2,254,0.0519,2.45,3.27,14.3,0.104,4.90,1.00,C,3.27
