Dimensions,d,t,Mass,Area_per_m,span_thick_width,Area,Ix,Zx,Sx,rx,J,C
21.3x2.3,21.3,2.3,1.08,0.0669,9.26,137,0.00629,0.59,0.834,6.77,0.0126,1.18
21.3x2.6,21.3,2.6,1.2,0.0669,8.19,153,0.00681,0.639,0.915,6.68,0.0136,1.28
21.3x3.2,21.3,3.2,1.43,0.0669,6.66,182,0.00768,0.722,1.06,6.5,0.0154,1.44
26.9x2.3,26.9,2.3,1.4,0.0845,11.7,178,0.0136,1.01,1.4,8.74,0.0271,2.02
26.9x2.6,26.9,2.6,1.56,0.0845,10.3,198,0.0148,1.1,1.54,8.64,0.0296,2.2
26.9x3.2,26.9,3.2,1.87,0.0845,8.41,238,0.017,1.27,1.81,8.46,0.0341,2.54
33.7x2.6,33.7,2.6,1.99,0.106,13,254,0.0309,1.84,2.52,11,0.0619,3.68
33.7x3,33.7,3,2.27,0.106,11.2,289,0.0344,2.04,2.84,10.9,0.0688,4.08
33.7x3.2,33.7,3.2,2.41,0.106,10.5,307,0.036,2.14,2.99,10.8,0.0721,4.28
33.7x3.6,33.7,3.6,2.67,0.106,9.36,340,0.0391,2.32,3.28,10.7,0.0782,4.64
33.7x4,33.7,4,2.93,0.106,8.43,373,0.0419,2.49,3.55,10.6,0.0838,4.98
42.4x2.6,42.4,2.6,2.55,0.133,16.3,325,0.0646,3.05,4.12,14.1,0.129,6.1
42.4x3,42.4,3,2.91,0.133,14.1,371,0.0725,3.42,4.67,14,0.145,6.84
42.4x3.2,42.4,3.2,3.09,0.133,13.2,394,0.0762,3.59,4.93,13.9,0.152,7.18
42.4x3.6,42.4,3.6,3.44,0.133,11.8,439,0.0833,3.93,5.44,13.8,0.167,7.86
42.4x4,42.4,4,3.79,0.133,10.6,483,0.0899,4.24,5.92,13.6,0.18,8.48
48.3x2.5,48.3,2.5,2.82,0.152,19.3,360,0.0946,3.92,5.25,16.2,0.189,7.84
48.3x2.6,48.3,2.6,2.93,0.152,18.6,373,0.0978,4.05,5.44,16.2,0.196,8.1
48.3x3,48.3,3,3.35,0.152,16.1,427,0.11,4.55,6.17,16.1,0.22,9.1
48.3x3.2,48.3,3.2,3.56,0.152,15.1,453,0.116,4.8,6.52,16,0.232,9.6
48.3x3.6,48.3,3.6,3.97,0.152,13.4,506,0.127,5.26,7.21,15.9,0.254,10.5
48.3x4,48.3,4,4.37,0.152,12.1,557,0.138,5.7,7.87,15.7,0.275,11.4
48.3x5,48.3,5,5.34,0.152,9.66,680,0.162,6.69,9.42,15.4,0.323,13.4
60.3x2.5,60.3,2.5,3.56,0.189,24.1,454,0.19,6.3,8.36,20.5,0.38,12.6
60.3x2.6,60.3,2.6,3.7,0.189,23.2,471,0.197,6.52,8.66,20.4,0.393,13
60.3x3,60.3,3,4.24,0.189,20.1,540,0.222,7.37,9.86,20.3,0.444,14.7
60.3x3.2,60.3,3.2,4.51,0.189,18.8,574,0.235,7.78,10.4,20.2,0.469,15.6
60.3x3.6,60.3,3.6,5.03,0.189,16.8,641,0.259,8.58,11.6,20.1,0.517,17.2
60.3x4,60.3,4,5.55,0.189,15.1,707,0.282,9.34,12.7,20,0.563,18.7
60.3x5,60.3,5,6.82,0.189,12.1,869,0.335,11.1,15.3,19.6,0.67,22.2
76.1x2.5,76.1,2.5,4.54,0.239,30.4,578,0.392,10.3,13.5,26,0.784,20.6
76.1x2.6,76.1,2.6,4.71,0.239,29.3,600,0.406,10.7,14.1,26,0.812,21.4
76.1x3,76.1,3,5.41,0.239,25.4,689,0.461,12.1,16,25.9,0.922,24.2
76.1x3.2,76.1,3.2,5.75,0.239,23.8,733,0.488,12.8,17,25.8,0.976,25.6
76.1x3.6,76.1,3.6,6.44,0.239,21.1,820,0.54,14.2,18.9,25.7,1.08,28.4
76.1x4,76.1,4,7.11,0.239,19,906,0.591,15.5,20.8,25.5,1.18,31
76.1x5,76.1,5,8.77,0.239,15.2,1120,0.709,18.6,25.3,25.2,1.42,37.2
76.1x6,76.1,6,10.4,0.239,12.7,1320,0.818,21.5,29.6,24.9,1.64,43
76.1x6.3,76.1,6.3,10.8,0.239,12.1,1380,0.848,22.3,30.8,24.8,1.7,44.6
88.9x2.5,88.9,2.5,5.33,0.279,35.6,679,0.634,14.3,18.7,30.6,1.27,28.6
88.9x3,88.9,3,6.36,0.279,29.6,810,0.748,16.8,22.1,30.4,1.5,33.6
88.9x3.2,88.9,3.2,6.76,0.279,27.8,862,0.792,17.8,23.5,30.3,1.58,35.6
88.9x3.6,88.9,3.6,7.57,0.279,24.7,965,0.879,19.8,26.2,30.2,1.76,39.6
88.9x4,88.9,4,8.38,0.279,22.2,1070,0.963,21.7,28.9,30,1.93,43.4
88.9x5,88.9,5,10.3,0.279,17.8,1320,1.16,26.2,35.2,29.7,2.33,52.4
88.9x6,88.9,6,12.3,0.279,14.8,1560,1.35,30.4,41.3,29.4,2.7,60.8
88.9x6.3,88.9,6.3,12.8,0.279,14.1,1630,1.4,31.5,43.1,29.3,2.8,63
101.6x3.2,101.6,3.2,7.77,0.319,31.7,989,1.2,23.6,31,34.8,2.4,47.2
101.6x4,101.6,4,9.63,0.319,25.4,1230,1.46,28.8,38.1,34.5,2.93,57.6
101.6x5,101.6,5,11.9,0.319,20.3,1520,1.77,34.9,46.7,34.2,3.55,69.8
101.6x6,101.6,6,14.1,0.319,16.9,1800,2.07,40.7,54.9,33.9,4.13,81.4
101.6x6.3,101.6,6.3,14.8,0.319,16.1,1890,2.15,42.3,57.3,33.8,4.3,84.6
101.6x8,101.6,8,18.5,0.319,12.7,2350,2.6,51.1,70.3,33.2,5.19,102
101.6x10,101.6,10,22.6,0.319,10.2,2880,3.05,60.1,84.2,32.6,6.11,120
114.3x3,114.3,3,8.23,0.359,38.1,1050,1.63,28.4,37.2,39.4,3.25,56.8
114.3x3.2,114.3,3.2,8.77,0.359,35.7,1120,1.72,30.2,39.5,39.3,3.45,60.4
114.3x3.6,114.3,3.6,9.83,0.359,31.8,1250,1.92,33.6,44.1,39.2,3.84,67.2
114.3x4,114.3,4,10.9,0.359,28.6,1390,2.11,36.9,48.7,39,4.22,73.8
114.3x5,114.3,5,13.5,0.359,22.9,1720,2.57,45,59.8,38.7,5.14,90
114.3x6,114.3,6,16,0.359,19.1,2040,3,52.5,70.4,38.3,6,105
114.3x6.3,114.3,6.3,16.8,0.359,18.1,2140,3.13,54.7,73.6,38.2,6.25,109
114.3x8,114.3,8,21,0.359,14.3,2670,3.79,66.4,90.6,37.7,7.59,133
114.3x10,114.3,10,25.7,0.359,11.4,3280,4.5,78.7,109,37,8.99,157
139.7x3.2,139.7,3.2,10.8,0.439,43.7,1370,3.2,45.8,59.6,48.3,6.4,91.6
139.7x3.6,139.7,3.6,12.1,0.439,38.8,1540,3.57,51.1,66.7,48.1,7.13,102
139.7x4,139.7,4,13.4,0.439,34.9,1710,3.93,56.2,73.7,48,7.86,112
139.7x5,139.7,5,16.6,0.439,27.9,2120,4.81,68.8,90.8,47.7,9.61,138
139.7x6,139.7,6,19.8,0.439,23.3,2520,5.64,80.8,107,47.3,11.29,162
139.7x6.3,139.7,6.3,20.7,0.439,22.2,2640,5.89,84.3,112,47.2,11.77,169
139.7x8,139.7,8,26,0.439,17.5,3310,7.2,103,139,46.6,14.41,206
139.7x10,139.7,10,32,0.439,14,4070,8.62,123,169,46,17.24,246
139.7x12,139.7,12,37.8,0.439,11.6,4810,9.9,142,196,45.3,19.8,284
139.7x12.5,139.7,12.5,39.2,0.439,11.2,5000,10.2,146,203,45.2,20.4,292
168.3x3.2,168.3,3.2,13,0.529,52.6,1660,5.66,67.2,87.2,58.4,11.31,134
168.3x3.6,168.3,3.6,14.6,0.529,46.8,1860,6.32,75.1,97.7,58.2,12.64,150
168.3x4,168.3,4,16.2,0.529,42.1,2060,6.97,82.8,108,58.1,13.94,166
168.3x5,168.3,5,20.1,0.529,33.7,2570,8.56,102,133,57.8,17.12,204
168.3x6,168.3,6,24,0.529,28.1,3060,10.09,120,158,57.4,20.17,240
168.3x6.3,168.3,6.3,25.2,0.529,26.7,3210,10.53,125,165,57.3,21.07,250
168.3x8,168.3,8,31.6,0.529,21,4030,12.97,154,206,56.7,25.95,308
168.3x10,168.3,10,39,0.529,16.8,4970,15.64,186,251,56.1,31.28,372
168.3x12,168.3,12,46.3,0.529,14,5890,18.1,215,294,55.4,36.2,430
168.3x12.5,168.3,12.5,48,0.529,13.5,6120,18.68,222,304,55.3,37.37,444
