Dimensions,d,b,t,Mass,Area_per_m,Area_per_t,span_thick_width,span_thick_height,Area,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C,kf,Compact_x,Zex,Compact_y,Zey
400 x 300 x 16.0 RHS,400,300,16,161,1.33,8.27,16.8,23,20500,453,2260,2750,149,290,1940,2260,119,586,3170,1,C,2750,N,2230
400 x 300 x 12.5 RHS,400,300,12.5,128,1.35,10.5,22,30,16300,370,1850,2230,151,238,1590,1830,121,471,2590,0.996,C,2230,S,1580
400 x 300 x 10.0 RHS,400,300,10,104,1.36,13,28,38,13300,306,1530,1820,152,197,1320,1500,122,384,2130,0.877,N,1600,S,1120
400 x 300 x 8.0 RHS,400,300,8,84.2,1.37,16.2,35.5,48,10700,251,1260,1490,153,162,1080,1220,123,312,1750,0.715,S,1140,S,800
400 x 200 x 16.0 RHS,400,200,16,136,1.13,8.33,10.5,23,17300,335,1670,2140,139,113,1130,1320,80.8,290,2000,1,C,2140,N,1300
400 x 200 x 12.5 RHS,400,200,12.5,109,1.15,10.6,14,30,13800,277,1380,1740,141,94,940,1080,82.4,236,1650,0.996,C,1740,S,936
400 x 200 x 10.0 RHS,400,200,10,88.4,1.16,13.1,18,38,11300,230,1150,1430,143,78.6,786,888,83.6,194,1370,0.855,C,1430,S,658
400 x 200 x 8.0 RHS,400,200,8,71.6,1.17,16.3,23,48,9120,190,949,1170,144,65.2,652,728,84.5,158,1130,0.745,N,1150,S,464
350 x 250 x 16.0 RHS,350,250,16,136,1.13,8.33,13.6,19.9,17300,283,1620,1990,128,168,1340,1580,98.5,355,2230,1,C,1990,C,1580
350 x 250 x 12.5 RHS,350,250,12.5,109,1.15,10.6,18,26,13800,233,1330,1620,130,139,1110,1290,100,287,1840,1,C,1620,N,1200
350 x 250 x 10.0 RHS,350,250,10,88.4,1.16,13.1,23,33,11300,194,1110,1330,131,116,927,1060,101,235,1520,0.943,N,1320,S,865
350 x 250 x 8.0 RHS,350,250,8,71.6,1.17,16.3,29.3,41.8,9120,160,914,1090,132,95.7,766,869,102,191,1250,0.833,N,928,S,614
300 x 200 x 16.0 RHS,300,200,16,111,0.931,8.42,10.5,16.8,14100,161,1080,1350,107,85.7,857,1020,78,193,1450,1,C,1350,C,1020
300 x 200 x 12.5 RHS,300,200,12.5,89,0.946,10.6,14,22,11300,135,899,1110,109,72,720,842,79.7,158,1210,1,C,1110,C,842
300 x 200 x 10.0 RHS,300,200,10,72.7,0.957,13.2,18,28,9260,113,754,921,111,60.6,606,698,80.9,130,1010,1,C,921,N,628
300 x 200 x 8.0 RHS,300,200,8,59.1,0.966,16.3,23,35.5,7520,93.9,626,757,112,50.4,504,574,81.9,106,838,0.903,N,746,S,447
300 x 200 x 6.0 RHS,300,200,6,45,0.974,21.7,31.3,48,5730,73,487,583,113,39.3,393,443,82.8,81.4,651,0.753,S,474,S,288
250 x 150 x 16.0 RHS,250,150,16,85.5,0.731,8.55,7.38,13.6,10900,80.2,641,834,85.8,35.8,478,583,57.3,88.2,836,1,C,834,C,583
250 x 150 x 12.5 RHS,250,150,12.5,69.4,0.746,10.8,10,18,8840,68.5,548,695,88,30.8,411,488,59,73.4,710,1,C,695,C,488
250 x 150 x 10.0 RHS,250,150,10,57,0.757,13.3,13,23,7260,58.3,466,582,89.6,26.3,351,409,60.2,61.2,602,1,C,582,N,404
250 x 150 x 9.0 RHS,250,150,9,51.8,0.761,14.7,14.7,25.8,6600,53.7,430,533,90.2,24.3,324,375,60.7,56,554,1,C,533,N,352
250 x 150 x 8.0 RHS,250,150,8,46.5,0.766,16.5,16.8,29.3,5920,48.9,391,482,90.8,22.2,296,340,61.2,50.5,504,1,C,482,N,299
250 x 150 x 6.0 RHS,250,150,6,35.6,0.774,21.8,23,39.7,4530,38.4,307,374,92,17.5,233,264,62.2,39,395,0.843,N,368,S,191
250 x 150 x 5.0 RHS,250,150,5,29.9,0.779,26,28,48,3810,32.7,262,317,92.6,15,199,224,62.6,33,337,0.762,N,275,S,144
200 x 100 x 10.0 RHS,200,100,10,41.3,0.557,13.5,8,18,5260,24.4,244,318,68.2,8.18,164,195,39.4,21.5,292,1,C,318,C,195
200 x 100 x 9.0 RHS,200,100,9,37.7,0.561,14.9,9.11,20.2,4800,22.8,228,293,68.9,7.64,153,180,39.9,19.9,272,1,C,293,C,180
200 x 100 x 8.0 RHS,200,100,8,33.9,0.566,16.7,10.5,23,4320,20.9,209,267,69.5,7.05,141,165,40.4,18.1,250,1,C,267,N,163
200 x 100 x 6.0 RHS,200,100,6,26.2,0.574,22,14.7,31.3,3330,16.7,167,210,70.8,5.69,114,130,41.3,14.2,200,0.967,C,210,S,110
200 x 100 x 5.0 RHS,200,100,5,22.1,0.579,26.2,18,38,2810,14.4,144,179,71.5,4.92,98.3,111,41.8,12.1,172,0.855,C,179,S,82.2
200 x 100 x 4.0 RHS,200,100,4,17.9,0.583,32.5,23,48,2280,11.9,119,147,72.1,4.07,81.5,91,42.3,9.89,142,0.745,N,144,S,58
152 x 76 x 6.0 RHS,152,76,6,19.4,0.43,22.2,10.7,23.3,2470,6.91,90.9,116,52.9,2.33,61.4,71.5,30.7,5.98,108,1,C,116,N,70.2
152 x 76 x 5.0 RHS,152,76,5,16.4,0.435,26.4,13.2,28.4,2090,6.01,79,99.8,53.6,2.04,53.7,61.6,31.2,5.13,94.3,1,C,99.8,N,55.2
150 x 100 x 10.0 RHS,150,100,10,33.4,0.457,13.7,8,13,4260,11.6,155,199,52.2,6.14,123,150,38,14.3,211,1,C,199,C,150
150 x 100 x 9.0 RHS,150,100,9,30.6,0.461,15.1,9.11,14.7,3900,10.9,145,185,52.9,5.77,115,140,38.5,13.2,197,1,C,185,C,140
150 x 100 x 8.0 RHS,150,100,8,27.7,0.466,16.8,10.5,16.8,3520,10.1,134,169,53.5,5.36,107,128,39,12.1,182,1,C,169,C,128
150 x 100 x 6.0 RHS,150,100,6,21.4,0.474,22.1,14.7,23,2730,8.17,109,134,54.7,4.36,87.3,102,40,9.51,147,1,C,134,N,101
150 x 100 x 5.0 RHS,150,100,5,18.2,0.479,26.3,18,28,2310,7.07,94.3,115,55.3,3.79,75.7,87.3,40.4,8.12,127,1,C,115,N,78.5
150 x 100 x 4.0 RHS,150,100,4,14.8,0.483,32.7,23,35.5,1880,5.87,78.2,94.6,55.9,3.15,63,71.8,40.9,6.64,105,0.903,N,93.2,S,55.9
150 x 50 x 6.0 RHS,150,50,6,16.7,0.374,22.4,6.33,23,2130,5.06,67.5,91.2,48.7,0.86,34.4,40.9,20.1,2.63,64.3,1,C,91.2,N,40.4
150 x 50 x 5.0 RHS,150,50,5,14.2,0.379,26.6,8,28,1810,4.44,59.2,78.9,49.5,0.765,30.6,35.7,20.5,2.3,56.8,1,C,78.9,N,31.8
150 x 50 x 4.0 RHS,150,50,4,11.6,0.383,32.9,10.5,35.5,1480,3.74,49.8,65.4,50.2,0.653,26.1,29.8,21,1.93,48.2,0.877,C,65.4,S,22.7
150 x 50 x 3.0 RHS,150,50,3,8.96,0.39,43.5,14.7,48,1140,2.99,39.8,51.4,51.2,0.526,21.1,23.5,21.5,1.5,38.3,0.713,C,51.4,S,14.5
150 x 50 x 2.5 RHS,150,50,2.5,7.53,0.391,52,18,58,959,2.54,33.9,43.5,51.5,0.452,18.1,19.9,21.7,1.28,32.8,0.633,C,43.5,S,10.9
150 x 50 x 2.0 RHS,150,50,2,6.07,0.393,64.7,23,73,774,2.08,27.7,35.3,51.8,0.372,14.9,16.3,21.9,1.04,26.9,0.553,N,31.6,S,7.64
