Dimensions,d,b,t,Mass,Area_per_m,Area_per_t,span_thick,Area,Ix,Zx,Zn,Sx,rx,J,C,kf,lamda_e,Compact_x,Zex
400 x 400 x 16.0 SHS,400,400,16.0,186,1.53,8.23,23.0,23700,571,2850,2140,3370,155,930,4350,1.00,30.9,N,3320
400 x 400 x 12.5 SHS,400,400,12.5,148,1.55,10.5,30.0,18800,464,2320,1720,2710,157,744,3520,0.994,40.2,S,2310
400 x 400 x 10.0 SHS,400,400,10.0,120,1.56,13.0,38.0,15300,382,1910,1400,2210,158,604,2890,0.785,51.0,S,1650
350 x 350 x 16.0 SHS,350,350,16.0,161,1.33,8.27,19.9,20500,372,2130,1610,2530,135,614,3250,1.00,26.7,C,2530
350 x 350 x 12.5 SHS,350,350,12.5,128,1.35,10.5,26.0,16300,305,1740,1300,2040,137,493,2650,1.00,34.9,N,1900
350 x 350 x 10.0 SHS,350,350,10.0,104,1.36,13.0,33.0,13300,252,1440,1060,1670,138,401,2180,0.904,44.3,S,1350
350 x 350 x 8.0 SHS,350,350,8.0,84.2,1.37,16.2,41.8,10700,207,1180,865,1370,139,326,1790,0.715,56.0,S,971
300 x 300 x 16.0 SHS,300,300,16.0,136,1.13,8.33,16.8,17300,226,1510,1160,1810,114,378,2310,1.00,22.5,C,1810
300 x 300 x 12.5 SHS,300,300,12.5,109,1.15,10.6,22.0,13800,187,1240,937,1470,116,305,1900,1.00,29.5,C,1470
300 x 300 x 10.0 SHS,300,300,10.0,88.4,1.16,13.1,28.0,11300,155,1030,769,1210,117,250,1570,1.00,37.6,N,1080
300 x 300 x 8.0 SHS,300,300,8.0,71.6,1.17,16.3,35.5,9120,128,853,628,991,118,203,1290,0.840,47.6,S,768
250 x 250 x 16.0 SHS,250,250,16.0,111,0.931,8.42,13.6,14100,124,992,774,1210,93.8,212,1530,1.00,18.3,C,1210
250 x 250 x 12.5 SHS,250,250,12.5,89.0,0.946,10.6,18.0,11300,104,830,634,992,95.7,173,1270,1.00,24.1,C,992
250 x 250 x 10.0 SHS,250,250,10.0,72.7,0.957,13.2,23.0,9260,87.1,697,523,822,97.0,142,1060,1.00,30.9,N,811
250 x 250 x 9.0 SHS,250,250,9.0,65.9,0.961,14.6,25.8,8400,79.8,639,477,750,97.5,129,972,1.00,34.6,N,699
250 x 250 x 8.0 SHS,250,250,8.0,59.1,0.966,16.3,29.3,7520,72.3,578,429,676,98.0,116,878,1.00,39.2,N,586
250 x 250 x 6.0 SHS,250,250,6.0,45.0,0.974,21.7,39.7,5730,56.2,450,330,521,99.0,88.7,681,0.753,53.2,S,380
200 x 200 x 16.0 SHS,200,200,16.0,85.5,0.731,8.55,10.5,10900,58.6,586,469,728,73.3,103,914,1.00,14.1,C,728
200 x 200 x 12.5 SHS,200,200,12.5,69.4,0.746,10.8,14.0,8840,50.0,500,389,607,75.2,85.2,772,1.00,18.8,C,607
200 x 200 x 10.0 SHS,200,200,10.0,57.0,0.757,13.3,18.0,7260,42.5,425,324,508,76.5,70.7,651,1.00,24.1,C,508
200 x 200 x 9.0 SHS,200,200,9.0,51.8,0.761,14.7,20.2,6600,39.2,392,297,465,77.1,64.5,599,1.00,27.1,C,465
200 x 200 x 8.0 SHS,200,200,8.0,46.5,0.766,16.5,23.0,5920,35.7,357,268,421,77.6,58.2,544,1.00,30.9,N,415
200 x 200 x 6.0 SHS,200,200,6.0,35.6,0.774,21.8,31.3,4530,28.0,280,207,327,78.6,44.8,425,0.952,42.0,S,272
200 x 200 x 5.0 SHS,200,200,5.0,29.9,0.779,26.0,38.0,3810,23.9,239,175,277,79.1,37.8,362,0.785,51.0,S,207
150 x 150 x 10.0 SHS,150,150,10.0,41.3,0.557,13.5,13.0,5260,16.5,220,173,269,56.1,28.4,341,1.00,17.4,C,269
150 x 150 x 9.0 SHS,150,150,9.0,37.7,0.561,14.9,14.7,4800,15.4,205,159,248,56.6,26.1,316,1.00,19.7,C,248
150 x 150 x 8.0 SHS,150,150,8.0,33.9,0.566,16.7,16.8,4320,14.1,188,144,226,57.1,23.6,289,1.00,22.5,C,226
150 x 150 x 6.0 SHS,150,150,6.0,26.2,0.574,22.0,23.0,3330,11.3,150,113,178,58.2,18.4,229,1.00,30.9,N,175
150 x 150 x 5.0 SHS,150,150,5.0,22.1,0.579,26.2,28.0,2810,9.70,129,96.2,151,58.7,15.6,197,1.00,37.6,N,135
125 x 125 x 10.0 SHS,125,125,10.0,33.4,0.457,13.7,10.5,4260,8.93,143,114,178,45.8,15.7,223,1.00,14.1,C,178
125 x 125 x 9.0 SHS,125,125,9.0,30.6,0.461,15.1,11.9,3900,8.38,134,106,165,46.4,14.5,208,1.00,16.0,C,165
125 x 125 x 8.0 SHS,125,125,8.0,27.7,0.466,16.8,13.6,3520,7.75,124,96.8,151,46.9,13.3,192,1.00,18.3,C,151
125 x 125 x 6.0 SHS,125,125,6.0,21.4,0.474,22.1,18.8,2730,6.29,101,76.5,120,48.0,10.4,154,1.00,25.3,C,120
125 x 125 x 5.0 SHS,125,125,5.0,18.2,0.479,26.3,23.0,2310,5.44,87.1,65.4,103,48.5,8.87,133,1.00,30.9,N,101
125 x 125 x 4.0 SHS,125,125,4.0,14.8,0.483,32.7,29.3,1880,4.52,72.3,53.6,84.5,49.0,7.25,110,1.00,39.2,N,73.2
100 x 100 x 10.0 SHS,100,100,10.0,25.6,0.357,14.0,8.00,3260,4.11,82.2,68.1,105,35.5,7.50,130,1.00,10.7,C,105
100 x 100 x 9.0 SHS,100,100,9.0,23.5,0.361,15.4,9.11,3000,3.91,78.1,63.6,98.6,36.1,7.00,123,1.00,12.2,C,98.6
100 x 100 x 8.0 SHS,100,100,8.0,21.4,0.366,17.1,10.5,2720,3.66,73.2,58.6,91.1,36.7,6.45,114,1.00,14.1,C,91.1
100 x 100 x 6.0 SHS,100,100,6.0,16.7,0.374,22.4,14.7,2130,3.04,60.7,47.1,73.5,37.7,5.15,93.6,1.00,19.7,C,73.5
100 x 100 x 5.0 SHS,100,100,5.0,14.2,0.379,26.6,18.0,1810,2.66,53.1,40.5,63.5,38.3,4.42,81.4,1.00,24.1,C,63.5
100 x 100 x 4.0 SHS,100,100,4.0,11.6,0.383,32.9,23.0,1480,2.23,44.6,33.5,52.6,38.8,3.63,68.0,1.00,30.9,N,51.9
100 x 100 x 3.0 SHS,100,100,3.0,8.96,0.390,43.5,31.3,1140,1.77,35.4,26.0,41.2,39.4,2.79,53.2,0.952,42.0,S,34.4
100 x 100 x 2.5 SHS,100,100,2.5,7.53,0.391,52.0,38.0,959,1.51,30.1,21.9,34.9,39.6,2.35,45.2,0.787,51.0,S,26.1
100 x 100 x 2.0 SHS,100,100,2.0,6.07,0.393,64.7,48.0,774,1.23,24.6,17.8,28.3,39.9,1.91,36.9,0.624,64.4,S,18.8
90 x 90 x 2.5 SHS,90,90,2.5,6.74,0.351,52.1,34.0,859,1.09,24.1,17.6,28.0,35.6,1.70,36.2,0.878,45.6,S,22.3
90 x 90 x 2.0 SHS,90,90,2.0,5.45,0.353,64.8,43.0,694,0.889,19.7,14.3,22.8,35.8,1.38,29.6,0.696,57.7,S,16.0
89 x 89 x 6.0 SHS,89,89,6.0,14.7,0.330,22.5,12.8,1870,2.06,46.4,36.4,56.7,33.2,3.55,71.8,1.00,17.2,C,56.7
89 x 89 x 5.0 SHS,89,89,5.0,12.5,0.335,26.7,15.8,1590,1.82,40.8,31.5,49.2,33.8,3.06,62.8,1.00,21.2,C,49.2
89 x 89 x 3.5 SHS,89,89,3.5,9.07,0.341,37.6,23.4,1150,1.38,31.0,23.3,36.5,34.6,2.25,47.2,1.00,31.4,N,35.8
89 x 89 x 2.0 SHS,89,89,2.0,5.38,0.349,64.9,42.5,686,0.858,19.3,14.0,22.3,35.4,1.33,29.0,0.704,57.0,S,15.7
75 x 75 x 6.0 SHS,75,75,6.0,12.0,0.274,22.8,10.5,1530,1.16,30.9,24.7,38.4,27.5,2.04,48.2,1.00,14.1,C,38.4
75 x 75 x 5.0 SHS,75,75,5.0,10.3,0.279,27.0,13.0,1310,1.03,27.5,21.6,33.6,28.0,1.77,42.6,1.00,17.4,C,33.6
75 x 75 x 4.0 SHS,75,75,4.0,8.49,0.283,33.3,16.8,1080,0.882,23.5,18.1,28.2,28.6,1.48,36.1,1.00,22.5,C,28.2
75 x 75 x 3.5 SHS,75,75,3.5,7.53,0.285,37.9,19.4,959,0.797,21.3,16.1,25.3,28.8,1.32,32.5,1.00,26.1,C,25.3
75 x 75 x 3.0 SHS,75,75,3.0,6.60,0.290,43.9,23.0,841,0.716,19.1,14.2,22.5,29.2,1.15,28.7,1.00,30.9,N,22.2
75 x 75 x 2.5 SHS,75,75,2.5,5.56,0.291,52.4,28.0,709,0.614,16.4,12.0,19.1,29.4,0.971,24.6,1.00,37.6,N,17.0
75 x 75 x 2.0 SHS,75,75,2.0,4.50,0.293,65.1,35.5,574,0.505,13.5,9.83,15.6,29.7,0.790,20.2,0.841,47.6,S,12.1
65 x 65 x 6.0 SHS,65,65,6.0,10.1,0.234,23.1,8.83,1290,0.706,21.7,17.8,27.5,23.4,1.27,34.2,1.00,11.9,C,27.5
65 x 65 x 5.0 SHS,65,65,5.0,8.75,0.239,27.3,11.0,1110,0.638,19.6,15.6,24.3,23.9,1.12,30.6,1.00,14.8,C,24.3
65 x 65 x 4.0 SHS,65,65,4.0,7.23,0.243,33.6,14.3,921,0.552,17.0,13.2,20.6,24.5,0.939,26.2,1.00,19.1,C,20.6
65 x 65 x 3.0 SHS,65,65,3.0,5.66,0.250,44.1,19.7,721,0.454,14.0,10.4,16.6,25.1,0.733,21.0,1.00,26.4,C,16.6
65 x 65 x 2.5 SHS,65,65,2.5,4.78,0.251,52.6,24.0,609,0.391,12.0,8.91,14.1,25.3,0.624,18.1,1.00,32.2,N,13.7
65 x 65 x 2.0 SHS,65,65,2.0,3.88,0.253,65.3,30.5,494,0.323,9.94,7.29,11.6,25.6,0.509,14.9,0.978,40.9,S,9.80
65 x 65 x 1.6 SHS,65,65,1.6,3.13,0.255,81.2,38.6,399,0.265,8.16,5.94,9.44,25.8,0.414,12.2,0.774,51.8,S,7.01
